neo_id,name,discovery_date,potentially_hazardous
7025,7025 (1993 QA),1993-08-16,0
7088,7088 Ishtar (1992 AA),1981-03-03,0
7092,7092 Cadmus (1992 LC),1980-06-02,0
7236,7236 (1987 PA),1987-08-01,0
7335,7335 (1989 JA),1989-04-06,1
7336,7336 Saunders (1989 RS1),1982-10-20,0
7341,7341 (1991 VK),1991-09-12,1
7350,7350 (1993 VA),1963-10-15,0
7358,7358 Oze (1995 YA3),1959-12-02,0
7474,7474 (1992 TC),1990-08-19,0
7480,7480 Norwan (1994 PC),1982-05-01,0
7482,7482 (1994 PC1),1974-09-22,1
7753,7753 (1988 XB),1988-12-05,1
7822,7822 (1991 CS),1991-01-19,1
7839,7839 (1994 ND),1994-07-03,0
7888,7888 (1993 UC),1989-10-28,0
7889,7889 (1994 LX),1977-08-10,0
7977,7977 (1977 QQ5),1955-03-23,0
8013,8013 Gordonmoore (1990 KA),1951-09-01,0
8014,8014 (1990 MF),1990-06-14,1
8034,8034 Akka (1992 LR),1992-05-21,0
8035,8035 (1992 TB),1992-10-02,0
8037,8037 (1993 HO1),1979-03-08,0
8176,8176 (1991 WA),1991-12-01,0
8201,8201 (1994 AH2),1981-12-16,0
8507,8507 (1991 CB1),1991-02-15,0
8566,8566 (1996 EN),1983-04-06,1
8567,8567 (1996 HW1),1955-05-23,0
8709,8709 Kadlu (1994 JF1),1990-09-23,0
9058,9058 (1992 JB),1992-01-09,0
9162,9162 Kwiila (1987 OA),1987-07-18,0
9172,9172 Abhramu (1989 OB),1989-07-07,0
9202,9202 (1993 PB),1993-08-13,0
9400,9400 (1994 TW1),1991-03-18,0
9856,9856 (1991 EE),1991-03-13,1
9950,9950 ESA (1990 VB),1990-11-08,0
10115,10115 (1992 SK),1953-10-12,1
10145,10145 (1994 CK1),1994-02-10,0
10150,10150 (1994 PN),1994-08-07,0
10165,10165 (1995 BL2),1991-02-22,0
10302,10302 (1989 ML),1989-06-06,0
10563,10563 Izhdubar (1993 WD),1991-11-13,0
10636,10636 (1998 QK56),1955-05-16,0
10860,10860 (1995 LE),1995-06-03,0
11054,11054 (1991 FA),1937-11-28,0
11066,11066 Sigurd (1992 CC1),1976-04-01,0
11284,11284 Belenus (1990 BA),1950-12-09,0
11311,11311 Peleus (1993 XN2),1993-12-10,0
11398,11398 (1998 YP11),1983-01-05,0
11405,11405 (1999 CV3),1978-10-25,0
11500,11500 Tomaiyowit (1989 UR),1989-10-25,1
11885,11885 Summanus (1990 SS),1990-09-25,0
12538,12538 (1998 OH),1987-08-22,1
12711,12711 Tukmit (1991 BB),1991-01-12,0
12923,12923 Zephyr (1999 GK4),1955-04-21,1
13553,13553 Masaakikoyama (1992 JE),1979-06-24,0
13651,13651 (1997 BR),1980-02-09,1
14402,14402 (1991 DB),1991-02-13,0
14827,14827 Hypnos (1986 JK),1986-05-04,1
15745,15745 Yuliya (1991 PM5),1982-07-27,0
15817,15817 Lucianotesi (1994 QC),1994-08-29,0
16064,16064 Davidharvey (1999 RH27),1994-09-01,0
16636,16636 (1993 QP),1993-08-23,0
16657,16657 (1993 UB),1993-10-23,0
16816,16816 (1997 UF9),1997-10-29,0
16834,16834 (1997 WU22),1988-10-08,0
16912,16912 Rhiannon (1998 EP8),1992-08-29,0
16960,16960 (1998 QS52),1983-06-14,1
17181,17181 (1999 UM3),1955-10-24,0
17182,17182 (1999 VU),1977-07-18,0
17188,17188 (1999 WC2),1990-07-27,0
17274,17274 (2000 LC16),1955-10-23,0
17511,17511 (1992 QN),1992-08-29,0
18106,18106 Blume (2000 NX3),1977-09-04,0
18109,18109 (2000 NG11),1951-11-08,0
18172,18172 (2000 QL7),1977-07-21,0
18736,18736 (1998 NU),1954-05-25,0
18882,18882 (1999 YN4),1954-01-04,0
19356,19356 (1997 GH3),1992-11-02,0
19764,19764 (2000 NF5),1990-08-28,0
20086,20086 (1994 LW),1994-06-03,0
20236,20236 (1998 BZ7),1998-01-24,1
20255,20255 (1998 FX2),1998-03-20,0
20425,20425 (1998 VD35),1998-11-15,1
20429,20429 (1998 YN1),1998-12-16,0
20460,20460 Robwhiteley (1999 LO28),1954-12-30,0
20790,20790 (2000 SE45),1992-03-09,0
20826,20826 (2000 UV13),1953-10-01,0
21088,21088 Chelyabinsk (1992 BL2),1990-01-30,0
21277,21277 (1996 TO5),1990-02-04,0
21374,21374 (1997 WS22),1974-09-22,0
22099,22099 (2000 EX106),1994-01-30,0
22753,22753 (1998 WT),1955-10-24,1
22771,22771 (1999 CU3),1999-02-10,0
23183,23183 (2000 OY21),1994-06-03,0
23187,23187 (2000 PN9),1990-08-02,1
23548,23548 (1994 EF2),1994-03-11,0
23606,23606 (1996 AS1),1985-07-18,0
23714,23714 (1998 EC3),1998-03-01,0
24443,24443 (2000 OG),1993-06-24,0
24445,24445 (2000 PM8),1991-04-10,0
24475,24475 (2000 VN2),2000-11-01,0
24761,24761 Ahau (1993 BW2),1993-01-28,0
25143,25143 Itokawa (1998 SF36),1998-09-19,1
25330,25330 (1999 KV4),1979-11-16,0
25916,25916 (2001 CP44),1998-11-13,0
26166,26166 (1995 QN3),1953-08-19,0
26310,26310 (1998 TX6),1951-07-08,0
26379,26379 (1999 HZ1),1992-08-27,0
26663,26663 (2000 XK47),1974-07-12,1
26760,26760 (2001 KP41),1996-03-25,0
26817,26817 (1987 QB),1987-05-31,0
27002,27002 (1998 DV9),1998-02-23,1
27031,27031 (1998 RO4),1951-08-26,0
27346,27346 (2000 DN8),1978-08-24,0
29075,29075 (1950 DA),1950-02-23,1
30825,30825 (1990 TG1),1990-09-16,0
30997,30997 (1995 UO5),1995-10-26,0
31210,31210 (1998 BX7),1955-11-23,0
31221,31221 (1998 BP26),1998-01-28,0
31345,31345 (1998 PG),1978-10-07,0
31346,31346 (1998 PB1),1998-07-14,0
31662,31662 (1999 HP11),1999-03-20,0
31669,31669 (1999 JT6),1996-06-12,1
32906,32906 (1994 RH),1984-09-21,0
33342,33342 (1998 WT24),1998-11-24,1
34613,34613 (2000 UR13),1934-03-16,0
35107,35107 (1991 VH),1991-11-09,1
35396,35396 (1997 XF11),1990-03-22,1
35432,35432 (1998 BG9),1998-01-24,0
