neo_id,eccentricity,inclination,orbital_period,orbit_class,moid
433,0.2228359407071628,10.82846651399785,1.76075345285339,Amor,0.148353
719,0.5465958091371813,11.57311098406436,4.28126588232635,Amor,0.201318
887,0.5711699794573504,9.400059831100009,3.89054093640291,Amor,0.079677
1036,0.5332132811889093,26.68073583408642,4.35057246414687,Amor,0.343339
1221,0.4346323375284623,11.86882308811668,2.66012957034213,Amor,0.107969
1566,0.8270056908369543,22.8032205675089,1.11933274446065,Apollo,0.0335114
1580,0.4876044837894818,52.18785378372942,3.25201368292778,Amor,0.132486
1620,0.3355121972847653,13.33579272164906,1.39049242562052,Apollo,0.029359
1627,0.3973228847581744,8.456290877862594,2.54300840289852,Amor,0.109225
1685,0.4360487430716658,9.381842770156513,1.59978095087463,Apollo,0.0510571
1862,0.5599179930625938,6.351390019826763,1.78399431235343,Apollo,0.0260113
1863,0.606266465270949,18.3786511593424,3.39785031737176,Apollo,0.18731
1864,0.6144458277495669,22.21686942864615,1.76567973140598,Apollo,0.269085
1865,0.4668604223270595,16.10114472470396,1.12234863746763,Apollo,0.156586
1866,0.5381206723620211,41.20631191695093,2.60532620520676,Apollo,0.103674
1915,0.5702246324910014,20.39923864931689,4.05974948054468,Amor,0.108832
1916,0.4491761651905133,12.87711754128551,3.42619246393973,Amor,0.252238
1917,0.5055378329529994,23.95877926127326,3.15049200411302,Amor,0.0717038
1943,0.2559124629373861,8.707703082828283,1.71100867962824,Amor,0.0609274
1980,0.3647058342938177,26.86993780967877,2.23496920309784,Amor,0.245041
1981,0.6504955479973124,39.82338344197386,2.36740317669106,Apollo,0.00277289
2059,0.5315840390685588,11.02085921151422,4.29402507098613,Amor,0.245023
2061,0.5355996630724251,3.800469818134847,3.40945004737121,Amor,0.0557606
2062,0.1828994504408308,18.93554263304309,0.950867421162454,Aten,0.113112
2063,0.3494290963109118,9.434706674966163,1.11927169015723,Apollo,0.0667442
2100,0.4364952492924106,15.75891776425788,0.758939905620915,Aten,0.149854
2101,0.7641272866540292,1.319975555725494,2.56549641780026,Apollo,0.0115133
2102,0.2993501728107168,64.00515474130202,1.46528990171405,Apollo,0.0425966
2135,0.5030860272069245,23.07237482818519,2.02317274906147,Apollo,0.00853299
2201,0.7107467143513929,2.521761458874268,3.21581646502768,Apollo,0.00278383
2202,0.512865242166673,8.74318887419444,3.46673036820705,Amor,0.143184
2212,0.834660340294506,11.20254821637205,3.19134113040745,Apollo,0.111943
2329,0.6533457144870014,24.46389580257561,3.74444757151011,Apollo,0.0935618
2340,0.4499362680235325,5.860590932930383,0.775201177579876,Aten,0.00662601
2368,0.4134484087597975,5.223901688456261,3.05376206912044,Amor,0.231444
2608,0.5646616075716824,14.42805445672147,4.0250879298763,Amor,0.153128
3102,0.4491904583696575,8.44255795685334,3.15537797315385,Amor,0.183336
3103,0.354183746559646,20.9307123391062,1.66354432063233,Apollo,0.0785522
3122,0.4232384851286358,22.14277038608455,2.35263691157841,Amor,0.0435706
3199,0.2841004688454785,32.95969660343363,1.97590187286033,Amor,0.215221
3200,0.8897184635448281,22.31263747244568,1.43360348801348,Apollo,0.0187014
3271,0.3955390021157504,25.06798040255462,3.04711579649363,Amor,0.275858
3288,0.4544770437035919,5.925784862089192,2.90173812255234,Amor,0.104653
3352,0.3691071842151085,4.771417545314086,2.57579717395986,Amor,0.202215
3360,0.7473877621798186,21.07371427832278,3.87337461146704,Apollo,0.109866
3361,0.3231610035445679,2.65168787244935,1.33127412353769,Apollo,0.0146456
3362,0.4684608161126215,9.915985684678182,0.984348394447233,Aten,0.0130033
3551,0.4868088692067852,9.506683359844397,3.02787196093071,Amor,0.0749198
3552,0.707287552360187,31.05176391826054,8.82253195426667,Amor,0.342198
3553,0.3199542456364874,36.77388595558028,2.10920465623646,Amor,0.29339
3554,0.2805906629144661,23.3563682850061,0.961244574478258,Aten,0.249752
3671,0.5438362957603375,13.53279311957103,3.25717765637691,Apollo,0.0149781
3691,0.2844501926308213,20.34973676948273,2.36324660731113,Amor,0.350296
3752,0.3015456530306495,55.56224194970913,1.68079652457539,Apollo,0.0777814
3753,0.5148757398237418,19.80229712675855,0.996701162130971,Aten,0.070282
3757,0.4458609644108424,3.866441989896492,2.48484115071413,Apollo,0.0366368
3838,0.7027320527602158,29.19740689952483,1.84607072269259,Apollo,0.158988
3908,0.4590032613687189,2.186359090051667,2.67690265879175,Amor,0.056701
3988,0.3166725845385209,10.766187321952,1.91975141494703,Amor,0.177119
4015,0.6308546917846036,2.798581461895956,4.25620714224121,Apollo,0.0430262
4034,0.4440123315579794,11.16925306724604,1.0903785978067,Apollo,0.0191115
4055,0.3259883548935298,23.25231006550814,2.45586275027978,Amor,0.238889
4179,0.6247403332495348,0.4480782648775527,4.05541581103514,Apollo,0.00651455
4183,0.6361972434047949,6.66948058390359,2.78813281500887,Apollo,0.0283699
4197,0.7724910138769645,12.60331590853919,3.47787954016641,Apollo,0.0985307
4257,0.4683593814917755,40.72179907250987,2.11398988635151,Apollo,0.168895
4341,0.6801107514924094,11.84040305334936,2.48424877108233,Apollo,0.194083
4401,0.5633840525483722,26.62001967590126,4.15369013019571,Amor,0.334675
4450,0.5866098144078361,5.524111770588069,1.73200467353684,Apollo,0.0287294
4486,0.6600236379164489,3.030845021525463,3.27724162397253,Apollo,0.0458965
4487,0.2964705488987809,16.40525840171237,2.27640516706341,Amor,0.218979
4503,0.5247715495510694,2.512807257012283,4.44547205594722,Amor,0.303961
4544,0.2501386619625174,14.14292137340285,1.06371423553993,Apollo,0.173338
4581,0.3569481235311107,4.917759774208245,1.03403827207957,Apollo,0.00384865
4596,0.5200438751525421,37.07443601512873,3.35107816729691,Amor,0.295839
4660,0.3587882686489839,1.453542356528226,1.80966230810129,Apollo,0.00416481
4688,0.5178619503805612,6.374948689362922,3.337034596866,Amor,0.108283
4769,0.4831979073359823,8.885145756531411,1.09613869894377,Apollo,0.0202841
4947,0.1684400448516671,15.6517949422573,1.60377214369438,Amor,0.149634
4953,0.6574752762622246,24.37897203889491,2.06472058354818,Apollo,0.0244582
4954,0.449364119690764,17.42719434967718,2.83140509003546,Amor,0.194286
4957,0.2187856541659371,35.01186650808729,1.95870709233988,Amor,0.425209
5011,0.500236642466697,7.409924097381212,2.09244874595709,Apollo,0.0240902
5131,0.5689455401372863,36.44665771974284,1.81184125311926,Apollo,0.275561
5143,0.7711709254938716,8.978954660306698,2.48528288286156,Apollo,0.0574739
5189,0.4782496505003281,3.579591392358331,1.93299621623982,Apollo,0.0448405
5324,0.6062556260809837,19.65541783797334,5.14257315794211,Amor,0.223233
5332,0.4555991176057002,25.52411062992787,3.18204797557646,Amor,0.305425
5370,0.6370048310368184,19.17167999738666,6.04462398749984,Amor,0.211892
5381,0.296429972358377,48.96620088163159,0.922212888925628,Aten,0.110979
5496,0.6342304447021166,68.01518614105022,3.80373997372365,Apollo,0.0945291
5587,0.5443165619509511,18.0410324625107,3.71951540029201,Amor,0.31005
5590,0.2801400809438404,14.17912238791946,0.979612246279613,Aten,0.121491
5604,0.4064912998236627,4.698328464682429,0.89687524606002,Aten,0.0336088
5620,0.4227266687205578,7.873178360284271,3.17165016560797,Amor,0.236208
5626,0.4545111142341231,3.848768468028403,3.25183168504536,Amor,0.213128
5645,0.3873146660261951,13.50516942117227,1.57651057826494,Apollo,0.0539915
5646,0.4358498675442454,7.90562713157822,3.13982223162668,Amor,0.211363
5653,0.3044011471220961,6.874690106904468,2.40309864640131,Amor,0.282131
5660,0.7619876067297139,38.14407221766631,2.38601240369553,Apollo,0.162338
5693,0.5851004346905986,5.058852630207639,1.43220432739994,Apollo,0.00585951
5731,0.6524095000155865,11.20075706633312,3.40977490855118,Apollo,0.0647215
5751,0.4253260776705741,16.07378889514513,3.04647890301677,Amor,0.239884
5786,0.8268298169972663,23.22311248948506,1.12474903609743,Apollo,0.188606
5797,0.4443397656934985,4.190350126891623,2.60629111321543,Amor,0.0698461
5828,0.6948660642348929,30.17576938913179,2.21326809659593,Apollo,0.398912
5836,0.5383190811703726,7.933591151494704,3.80886784937662,Amor,0.179723
5863,0.5072831221646451,19.50910982185726,3.30895424518926,Amor,0.230681
5869,0.3213945232064802,17.9249998875992,2.43942061126145,Amor,0.309995
5879,0.2891396091282228,21.57501025970944,2.07093168579733,Amor,0.167227
6037,0.4996137169793169,3.510550772285995,1.43388056331589,Apollo,0.0239189
6047,0.3521491926699417,23.47429956949283,1.75423868216521,Apollo,0.139249
6050,0.437216817286533,6.405250864572114,3.26675085010528,Amor,0.2675
6053,0.5283946693018893,21.5793485230726,3.14630533946146,Apollo,0.222147
6063,0.7624603113490719,4.961550237449565,3.30754997577813,Apollo,0.0762938
6178,0.5847926252398172,4.314464788605909,4.71990659895388,Amor,0.178066
6239,0.4124694590317019,3.94169507016763,1.23484488564539,Apollo,0.0260904
6455,0.5728900812206995,37.33965930010627,3.35319832541401,Apollo,0.287374
6456,0.4088177423020555,8.222234029027874,3.24839658336743,Amor,0.281674
6489,0.6187571562047618,2.259292857994011,3.89796746521898,Apollo,0.0224543
6491,0.5920989723391571,6.153287208481672,3.96267621232199,Amor,0.0373302
6569,0.2207238849660814,22.64324628556713,2.07410471857447,Amor,0.253617
6611,0.4845458404353779,8.701171679442442,2.20864229694372,Apollo,0.0597932
7025,0.3150127532310571,12.61026369417386,1.79285140502996,Apollo,0.0622411
7088,0.3903182784967962,8.298746382237534,2.78792399582268,Amor,0.22446
7092,0.6936758874997421,17.78670296156185,4.06105056707132,Apollo,0.10058
7236,0.5636857897403278,16.69135006781158,4.49006220761011,Amor,0.186182
7335,0.4845101477244901,15.16491830416546,2.36010740747718,Apollo,0.0214617
7336,0.4819566218473221,7.200429993954059,3.5008129529856,Amor,0.188845
7341,0.5061419339899735,5.409986890846618,2.49930278313945,Apollo,0.048103
7350,0.3911511226338049,7.263321298323103,1.57897675199299,Apollo,0.0811452
7358,0.5023807027062437,4.661374294274566,3.25925551025378,Amor,0.123167
7474,0.2920864026221507,7.088320177693784,1.95907011508585,Amor,0.16728
7480,0.3168761951096152,9.453735292000339,1.96317710270851,Amor,0.161225
7482,0.3294446467807683,33.4693310232162,1.5664047999993,Apollo,0.000725657
7753,0.4815705403185895,3.124881389711453,1.77761370930407,Apollo,0.00657976
7822,0.1646364244344887,37.12267408780917,1.18958725957513,Apollo,0.0216151
7839,0.5186281451094488,27.11509961785793,3.18582876023758,Amor,0.134693
7888,0.6632127252540682,26.07787779327665,3.80809649060372,Apollo,0.086915
7889,0.3462953530140392,36.90944452746336,1.41703646750849,Apollo,0.154899
7977,0.4662169270718441,25.16607826625871,3.32021772426146,Amor,0.355397
8013,0.4321079386438926,7.597733419179605,3.26222938974424,Amor,0.24365
8014,0.4560056778051476,1.867201314735693,2.31027382837036,Apollo,0.0168445
8034,0.4090551929262219,2.023274447784218,2.47696576876685,Amor,0.0730225
8035,0.4623805140935155,28.30509461281869,1.55470704572752,Apollo,0.273881
8037,0.4176758883733193,5.907447024144577,2.79982479097736,Amor,0.200462
8176,0.6431833149663634,39.58754463419168,1.97680850524094,Apollo,0.192823
8201,0.7061394157230159,9.540319070227582,4.04722782444528,Apollo,0.100863
8507,0.5947797832050576,14.60088291843755,2.19184598600902,Apollo,0.220436
8566,0.4303702364471029,37.98244836855392,1.84869948358151,Apollo,0.022567
8567,0.4490938606549196,8.448964446978502,2.92592165317391,Amor,0.121529
8709,0.4944975203227881,3.537369766095841,4.00346844151675,Amor,0.258245
9058,0.3597180327958709,16.08784710370674,1.94340542078686,Apollo,0.0837253
9162,0.5954790896084459,9.009822301767123,1.83106702977878,Apollo,0.0806247
9172,0.5528095497328746,7.842143920307279,4.46129228939574,Amor,0.251603
9202,0.6077865048883452,40.80176042728003,1.69901580366815,Apollo,0.373834
9400,0.5807035686807055,35.98468516935428,4.16370837036335,Amor,0.284822
9856,0.6257509346060423,9.828690297950219,3.35899340299893,Apollo,0.0221781
9950,0.5329201329978605,14.59304283662319,3.80818715332512,Amor,0.2801
10115,0.3248811458043264,15.31793189767141,1.39521807591425,Apollo,0.0464141
10145,0.6326472812034141,4.546399491488535,2.61880763687095,Apollo,0.0629576
10150,0.5442788409564754,45.96407807722631,3.65747119838382,Amor,0.223241
10165,0.5038529009839459,23.90097391799429,1.37181723335891,Apollo,0.376449
10302,0.1369000126907292,4.379103250603126,1.43590752402328,Amor,0.0805193
10563,0.266188441258999,63.46533578714227,1.01022046853298,Apollo,0.14487
10636,0.512823669254268,13.57493270043959,2.58737592036436,Apollo,0.110382
10860,0.5751553322304652,4.144778827087789,4.13797101989151,Amor,0.110416
11054,0.4465039415676925,3.077726871398259,2.78485693015662,Amor,0.123106
11066,0.3753616334600849,36.87645883082811,1.64169247777079,Apollo,0.118892
11284,0.3373665208046583,1.991801452024779,2.29553602381565,Amor,0.168355
11311,0.5358052056141449,25.49414779700032,3.079045650772,Apollo,0.0952425
11398,0.3890923979950133,15.02092244411097,2.2577643352836,Amor,0.202471
11405,0.3938234382151904,22.86469842556772,1.76334759769971,Apollo,0.117213
11500,0.3558433697184085,10.31072469930001,1.12216850272675,Apollo,0.0343828
11885,0.4745418828337281,19.43141487465761,2.22304388701341,Apollo,0.0663602
12538,0.405901604968231,24.53563611415741,1.91405361401353,Apollo,0.030225
12711,0.2720510548530375,38.49103769355605,1.29217834974202,Apollo,0.112364
12923,0.4927419785245619,5.309531398021807,2.74872618737951,Apollo,0.0199548
13553,0.4635501747084756,5.874660480259036,3.24098206802286,Amor,0.189364
13651,0.3057196149898164,17.25106682453858,1.54341319397756,Apollo,0.015601
14402,0.4016937463833632,11.41110498197266,2.24565846084699,Amor,0.102385
14827,0.6642732188104067,1.965344926228056,4.81331756005557,Apollo,0.0157742
15745,0.2554163619705528,14.42969323645903,2.2548688092548,Amor,0.294215
15817,0.118063241238252,13.87269796944806,1.52436087570778,Amor,0.247542
16064,0.5892781355277694,4.538174581944945,4.81291253521979,Amor,0.20349
16636,0.4678524818681136,7.207385920431758,3.51334358641219,Amor,0.240065
16657,0.4606673345028232,24.94465811125663,3.43534905827551,Amor,0.253339
16816,0.6037214081806158,25.91744314685398,1.73259992260287,Apollo,0.379889
16834,0.4421589929996655,15.99740569126671,1.77850258033707,Apollo,0.147122
16912,0.2726845896262555,24.52114770469537,2.31753456846924,Amor,0.320902
16960,0.8590716200153135,17.5181347674607,3.26416364992619,Apollo,0.0183584
17181,0.67402880701144,10.65319789750887,3.64949611604143,Apollo,0.0716818
17182,0.5533817352487842,9.265518013710341,1.63354489920295,Apollo,0.143611
17188,0.6366567459984018,29.45375471119977,3.29955084384905,Apollo,0.0631748
17274,0.554132586113784,5.57276440236769,4.51280531698266,Amor,0.207459
17511,0.3586724529692153,9.579899215476557,1.29765181613341,Apollo,0.132361
18106,0.5119922233260418,4.220492191583627,3.8180522948784,Amor,0.193872
18109,0.367636059909302,0.8074438970934759,2.58001981260848,Amor,0.19104
18172,0.5110299399836975,17.82778596122258,3.77816923205178,Amor,0.365304
18736,0.4911399840060588,2.806157614261681,3.60185067452191,Amor,0.20706
18882,0.2321218334393078,36.81466884633812,2.18731193616873,Amor,0.430521
19356,0.5578088569454338,3.013473220668917,3.98156773166488,Amor,0.120667
19764,0.4446612096611244,1.330283275582886,3.33581582189227,Amor,0.221935
20086,0.6287008711910044,21.6862444282357,5.64006461510112,Amor,0.295968
20236,0.5609676906735416,6.506501202544522,2.89942369935955,Apollo,0.0494669
20255,0.4920247275648747,9.958676504470839,3.15534770250009,Amor,0.100509
20425,0.4766205987722787,6.989224560071714,1.95714720026639,Apollo,0.0041858
20429,0.4640785486536806,6.301909034575178,1.94089389769035,Apollo,0.0571127
20460,0.4117740974063291,33.95479123093827,2.57101334349385,Amor,0.328521
20790,0.5561889803686958,8.296543001097445,4.56826467240694,Amor,0.239464
20826,0.6365058555432068,31.93089663587283,3.75908742832886,Apollo,0.0929792
21088,0.2387361870573285,38.46248169855561,2.22903479173834,Amor,0.306449
21277,0.5203590489232771,20.94776133161765,3.66704353401694,Amor,0.313475
21374,0.1207067243431388,23.97967415184947,1.43036011228237,Amor,0.107584
22099,0.2763452298762172,9.846017789281877,1.16072465851402,Apollo,0.168407
22753,0.5700138281424316,3.205155135726489,1.34557279528215,Apollo,0.0336225
22771,0.5242253838299091,11.40261563250756,1.97830431756061,Apollo,0.0637476
23183,0.4009327489511524,40.97758717754459,2.46372603580171,Amor,0.256286
23187,0.5893652155727045,51.33589843841472,2.510094689953,Apollo,0.014953
23548,0.5179404547427336,23.43973327339128,3.4642742035532,Amor,0.239815
23606,0.3609143575871835,14.36215687307525,2.31636458446113,Amor,0.101392
23714,0.5164625137241072,8.437696483875326,3.1050718779624,Amor,0.0789166
24443,0.822403495286752,25.74016125473706,3.51173809075511,Apollo,0.150218
24445,0.5457716514552832,23.77017999561538,3.28765778227831,Apollo,0.081974
24475,0.4417097747639083,14.6316084969231,2.77550200634396,Amor,0.151123
24761,0.3057636799308876,21.92454372133235,1.54203740936248,Apollo,0.100234
25143,0.2801500981413037,1.620938690165939,1.5237253323515,Apollo,0.0132853
25330,0.3709211329587684,14.3281069066682,1.91230623846278,Apollo,0.173147
25916,0.4997811951547701,15.76392367970879,4.09059193410798,Amor,0.272741
26166,0.6445145768999972,14.78610133912988,6.00130422979629,Amor,0.271008
26310,0.4695014068436802,5.376609458546319,3.12767744824111,Amor,0.154711
26379,0.5762998755619848,8.680612023244358,2.03543010270316,Apollo,0.130889
26663,0.4718049406295813,13.52954123676841,1.92243848031676,Apollo,0.0351218
26760,0.5570484998072911,11.01477292156217,4.82166453357112,Amor,0.259991
26817,0.5936876004944414,3.497528326743584,4.69933189187751,Amor,0.126612
27002,0.4334827791119671,8.698168487261885,2.30299864834236,Apollo,0.00232975
27031,0.4263352744836392,5.356359297771215,3.12686942265351,Amor,0.230923
27346,0.3990187716266931,36.94934515571315,2.5673169643321,Amor,0.443039
29075,0.5075049672819846,12.15494384859348,2.21383572602745,Apollo,0.0397845
30825,0.6809203371070707,8.73644700989561,3.80276316755485,Apollo,0.0700163
30997,0.6431020649919007,36.24884489074964,1.94833068819707,Apollo,0.404565
31210,0.5020349617011252,8.956074368485964,4.20803767731601,Amor,0.356265
31221,0.2569977631405923,20.21784780227281,2.26223724813779,Amor,0.291517
