observatory_code,observatory_name,longitude,parallax_cos,parallax_sin
165,"Piera Observatory, Barcelona",1.7553,0.74984,0.65946
166,Upice,16.0117,0.6373,0.76812
167,Bulach Observatory,8.5727,0.67662,0.73398
168,Kourovskaya,59.5472,0.54541,0.83541
169,Airali Observatory,8.4016,0.70737,0.70453
170,Observatorio de Begues,1.9206,0.75217,0.65711
171,"Flarestar Observatory, San Gwann",14.4697,0.81089,0.58327
172,Onnens,7.0364,0.68593,0.72539
173,"St. Clotilde, Reunion",55.5061,0.93464,-0.35447
174,"Nyrola Observatory, Jyvaskyla",25.5131,0.46536,0.88219
175,"F.-X. Bagnoud Observatory, St-Luc",7.6083,0.6932,0.7188
176,Observatorio Astronomico de Consell,2.8225,0.77098,0.63475
177,Le Cres,3.9414,0.72477,0.68669
178,Collonges,6.1344,0.69423,0.71745
179,Monte Generoso,9.0175,0.69694,0.71507
180,Mauguio,3.9519,0.72571,0.6857
181,"Observatoire des Makes, Saint-Louis",55.41,0.93288,-0.35941
182,"St. Paul, Reunion",55.2586,0.93394,-0.35634
183,"Starlab Observatory, Karachay-Cherkessia",41.42,0.72496,0.68695
184,"Valmeca Observatory, Puimichel",6.0361,0.72081,0.69097
185,Observatoire Astronomique Jurassien-Vicques,7.4219,0.67876,0.732
186,Kitab,66.8821,0.77679,0.62781
187,"Astronomical Observatory, Borowiec",17.0733,0.61314,0.78735
188,Maidanak,66.89555,0.782059,0.621762
189,Geneva (before 1967),6.1514,0.6934,0.71823
190,Gissar,68.6819,0.78382,0.61909
191,Dushanbe,68.7811,0.78306,0.62006
192,Tashkent,69.2936,0.75213,0.65692
193,Sanglok,69.2178,0.78648,0.6161
194,Tivoli,18.0094,0.91807,-0.39579
195,"Untermenzing Observatory, Munich",11.4492,0.66804,0.74174
196,Homburg-Erbach,7.3331,0.65296,0.7549
197,Bastia,12.1836,0.71739,0.69434
198,Wildberg,8.75674,0.662195,0.746924
199,"Telescope Jean-Marc Salomon, Buthiers",2.438,0.66659,0.74294
