neo_id,diameter,absolute_magnitude,albedo,spectral_class
86326,1.348,17.35,0.098,S
86666,1.165,16.88,0.228,
86667,0.745,17.54,0.349,
86819,0.802,17.48,0.301,S
86829,1.823,15.81,0.232,S
87309,0.568,17.59,0.499,
87311,1.948,16.5,0.142,
88188,1.371,16.08,0.374,
88213,0.912,19.48,0.028,
88254,0.8,17.77,0.252,
88263,5.748,15.69,0.037,
88710,0.76,17.61,0.281,
89355,2.038,15.8,0.246,S
89830,5.067,14.98,0.079,
89959,1.407,16.55,0.224,
90075,2.233,15.38,0.294,
90367,1.748,17.92,0.048,
90403,0.572,17.78,0.493,
90416,0.968,18.83,0.062,
96189,3.605,16.48,0.041,
96590,0.882,16.28,0.489,S
99248,1.115,16.54,0.429,
99907,1.4,17.96,,S
99942,0.34,19.09,0.35,S
100004,2.7,16.43,0.0668,
100756,1.809,16.34,0.163,S
100926,1.174,16.63,0.234,S
101955,0.48444,20.21,0.044,
103067,1.282,16.8,0.246,
105140,1.946,15.75,0.223,
105141,0.352,19.09,0.431,
108519,1.423,17.94,0.06,
111253,3.006,15.24,0.178,
112985,3.618,15.77,0.033,
136564,0.4,19.28,,X
136874,3.398,15.74,0.073,
137032,1.055,16.66,0.183,
137062,1.265,16.76,0.411,S
137084,1.228,16.47,0.322,
137099,0.564,18.29,0.291,
137805,2.243,16.72,0.027,X
137924,0.97,17.5,0.247,
137925,1.372,16.06,0.373,
138013,3.518,14.7,0.172,
138127,0.754,17.11,0.449,
138359,1.085,17.97,0.095,
138847,0.965,17.07,0.396,
138883,1.222,16.84,0.247,
138947,0.447,18.82,0.292,
139056,0.32,19.18,0.52,S
139289,1.126,17.8,0.127,
139345,2.586,16.74,0.038,
140158,0.566,18.48,0.289,
140288,1.263,16.73,0.231,
141432,0.239,20.06,0.34,
141484,1.034,16.26,0.455,
141531,0.303,19.15,0.482,
142040,1.232,16.25,0.353,
142464,0.886,18.34,0.118,
142563,0.86,17.21,0.378,
142781,1.595,16.14,0.252,
143624,2.137,15.91,0.169,
144901,2.24,17.54,0.038,
152558,1.4,16.86,0.146,
152563,0.272,19.71,0.287,X
152564,0.282,19.63,0.169,
152671,0.298,20.24,0.2,
152679,4.167,16.55,0.022,C
152742,0.413,19.1,0.264,
152754,0.414,19.22,0.216,
152889,1.022,16.5,0.388,
152931,1.646,16.3,0.237,
152941,0.82,17.61,0.205,
152952,0.776,17.57,0.353,
152964,0.788,17.8,0.342,
152978,0.531,19.57,0.109,S
153195,1.327,17.51,0.1,
153201,0.51,19.3,0.129,X
153219,1.289,18.54,0.035,
153249,3.16,15.67,0.177,
153271,2.441,17.4,0.039,
153591,2.0,17.11,,
153814,0.932,18.28,0.097,
153842,1.759,16.7,0.193,
154029,1.119,16.52,0.098,
154035,1.098,17.38,0.149,
154276,1.06,17.61,0.143,
154589,1.109,16.62,0.395,
154590,0.086,21.7,0.53,
154807,0.469,18.56,0.319,
154993,0.828,17.99,0.195,
155110,0.683,17.46,0.379,
