neo_id,diameter,absolute_magnitude,albedo,spectral_class
2010 CO44,0.034,24.6,0.218,
2010 CA55,0.352,22.2,,
2010 CB55,0.198,22.69,0.037,
2010 CC55,0.242,22.44,0.033,
2010 CD55,0.083,23.36,0.145,
2010 CF55,0.176,21.68,0.119,
2010 CP140,0.556,19.44,0.11,
2010 CN141,0.254,22.4,0.03,
2010 CJ171,0.134,21.08,0.358,
2010 DL,0.019,27.0,0.08,
2010 DO,0.149,21.66,0.176,
2010 DX1,0.167,21.61,0.146,
2010 DM21,0.303,20.26,0.133,
2010 DK34,0.283,20.4,0.152,
2010 DH56,0.774,20.31,0.022,
2010 DH77,0.52,21.06,0.009,
2010 DJ77,0.277,21.59,,
2010 EX11,0.04,24.11,0.234,
2010 EG21,0.09,24.5,0.038,
2010 EC43,0.051,23.0,0.434,
2010 EK43,0.233,21.67,0.068,
2010 FC,0.093,24.0,0.051,
2010 FK,0.087,23.8,0.071,
2010 FQ,0.285,19.99,0.204,
2010 FS,0.023,24.2,0.548,
2010 FT,0.018,25.7,0.294,
2010 FD6,0.008,26.8,0.497,
2010 FD7,0.075,22.1,0.448,
2010 FE7,0.045,23.8,0.288,
2010 FR9,0.015,26.1,0.287,
2010 FW9,0.024,26.7,0.075,
2010 FX9,0.03,24.06,0.425,
2010 FF10,0.095,21.8,0.407,
2010 FX80,0.676,20.37,0.022,
2010 FY80,0.451,19.56,0.118,
2010 FZ80,0.867,20.33,0.018,
2010 FA81,0.097,22.42,0.224,
2010 FB81,0.319,21.36,0.048,
2010 FC81,0.402,21.91,0.021,
2010 FG81,0.105,23.05,0.058,
2010 FJ81,0.416,20.48,0.049,
2010 FO92,0.268,20.05,0.277,
2010 GZ5,0.071,22.96,0.281,
2010 GB6,0.134,22.07,0.142,
2010 GT6,0.116,21.4,0.3,
2010 GU6,0.252,20.69,0.147,
2010 GA7,0.151,21.27,0.256,
2010 GH7,0.008,27.35,0.326,
2010 GS7,0.203,21.51,0.107,
2010 GT7,0.216,20.19,0.326,
2010 GU21,0.51,21.14,0.025,
2010 GK23,0.277,19.7,0.303,
2010 GL23,0.092,22.8,0.159,
2010 GX23,0.06,23.0,0.334,
2010 GF25,1.127,19.3,0.018,
2010 GP67,0.251,22.36,0.034,
2010 GQ75,0.372,20.2,0.106,
2010 GV147,2.055,18.27,0.018,
2010 HA,0.032,23.9,0.482,
2010 HC,0.128,21.3,0.328,
2010 HV20,0.465,21.93,0.016,
2010 HD33,0.563,18.33,0.267,
2010 HW81,0.352,20.26,0.039,
2010 HZ104,0.14,22.5,0.09,
2010 HX107,0.064,23.54,0.187,
2010 JE,0.406,20.27,0.09,
2010 JG,0.192,20.95,0.209,
2010 JH3,0.039,25.31,0.087,
2010 JJ3,0.032,23.7,0.609,
2010 JK33,0.208,21.03,0.148,
2010 JN33,0.286,20.5,0.086,
2010 JV34,0.226,20.85,0.165,
2010 JA35,0.309,20.49,0.107,
2010 JW39,0.039,24.63,0.187,
2010 JL41,0.359,20.64,0.073,
2010 JN71,0.214,21.42,0.106,
2010 JO71,0.037,23.98,0.349,
2010 JF87,0.945,19.12,0.041,
2010 JG87,0.408,19.2,0.202,
2010 JH87,0.428,19.53,0.127,
2010 KH,0.645,19.48,0.029,
2010 KU7,0.102,22.24,0.224,
2010 KV7,0.013,26.0,0.397,
2010 KA8,0.183,21.4,0.147,
2010 KP10,0.087,23.1,0.101,
2010 KY39,0.685,20.15,0.029,
2010 KB61,0.417,20.41,0.065,
2010 KK127,0.501,20.7,0.034,
2010 KD149,0.213,21.48,0.118,
2010 LH14,0.101,22.08,0.274,
2010 LQ33,0.872,19.56,0.04,
2010 LK34,0.108,21.91,0.271,
2010 LJ61,0.192,21.0,0.208,
2010 LK61,0.191,21.79,0.084,
2010 LZ63,0.877,20.2,0.021,
2010 LB64,0.088,21.76,0.477,
2010 LG64,0.94,20.23,0.015,
2010 LJ68,0.193,22.7,0.039,
2010 LK68,0.236,22.42,0.032,
2010 LL68,0.153,22.88,0.063,
2010 LO97,1.629,18.76,0.02,
2010 LU108,0.825,19.95,0.026,
2010 LV108,0.234,22.36,0.029,
2010 LU134,0.317,19.31,0.443,
2010 MG1,0.053,23.34,0.301,
2010 MP1,0.104,21.5,0.518,
2010 MY1,0.043,23.88,0.265,
2010 MU111,1.947,18.43,0.015,
2010 MU112,0.599,20.79,0.028,
2010 MA113,0.903,21.92,,
2010 NA,0.32,20.7,0.109,
2010 NG1,0.229,20.29,0.142,
2010 NK1,0.219,22.41,0.04,
2010 NU1,0.286,21.1,0.072,
2010 NB2,0.21,20.1,0.303,
2010 OC,0.344,19.11,0.342,
2010 OA1,0.663,23.5,,
2010 OP1,1.188,19.16,0.025,
2010 OQ1,0.539,19.09,0.153,
2010 OE22,0.174,21.23,0.176,
2010 OL100,0.308,19.5,0.246,
2010 OC101,0.148,20.77,0.384,
2010 OD101,0.198,20.72,0.217,
2010 OF101,0.303,19.73,0.231,
2010 OL101,0.195,20.4,0.321,
2010 ON101,0.238,20.39,0.225,
2010 OH126,0.218,21.3,0.103,
2010 OK126,0.854,20.56,0.013,
2010 PK9,0.143,21.81,0.138,
2010 PU66,0.18,22.19,0.079,
2010 PY75,0.758,18.5,0.102,
2010 QE2,2.156,17.45,0.05,
2010 QG2,0.038,24.67,0.228,
2010 QA5,0.35,22.16,0.014,
2010 TN4,0.018,27.5,0.062,
2010 TU149,0.603,20.68,0.025,
2010 UY6,0.712,20.11,0.03,
2010 UC7,0.043,24.68,0.129,
2010 UB8,1.122,19.25,0.02,
2010 VZ,0.38,19.31,0.194,
2010 VT11,0.152,21.7,0.189,
2010 VZ71,0.237,19.69,,
2010 VK139,0.055,23.71,0.196,
2010 WB,0.057,24.1,0.126,
2010 WE9,0.608,19.97,0.052,
2010 XP69,0.273,20.88,0.065,
2010 XY82,0.453,19.17,0.18,
2010 YD,0.026,26.6,0.06,
2010 YC1,0.227,21.22,0.029,
2010 YD3,0.755,19.68,0.031,
2011 AV55,0.063,23.5,0.176,
2011 BY24,0.195,22.88,0.042,
2011 BN59,0.994,20.46,0.013,
2011 LA19,0.852,19.17,0.056,
2011 QP96,0.617,18.63,0.158,
2011 YB40,0.424,19.17,0.225,
2012 CC17,0.231,20.5,0.208,
2012 LZ1,1.252,19.91,0.012,
2012 UR158,0.629,20.67,0.023,
