spkid,H,diameter
54509617,24.68,\N
54510162,23.12,\N
54510163,21.95,\N
3670142,26.30,\N
3670150,24.27,\N
3670295,22.30,\N
3670297,21.74,\N
3670298,24.80,\N
3670394,20.60,\N
3670393,25.10,\N
3670392,25.37,\N
3670395,25.70,\N
3670397,24.50,\N
3670398,21.06,\N
3670630,24.80,\N
3670631,24.50,\N
3670632,21.80,\N
3670633,29.30,\N
3670701,24.20,\N
3670703,23.90,\N
3670704,26.90,\N
3670716,18.71,\N
3670717,22.65,0.228
3670720,26.60,\N
3670719,21.26,\N
3670729,23.30,\N
3670727,26.50,\N
3670999,25.40,\N
3671001,23.39,\N
3671119,21.21,\N
3671118,24.10,\N
3671121,25.90,\N
3671123,18.65,\N
3671122,24.38,\N
3671124,27.10,\N
3671125,29.20,\N
3671126,25.30,\N
3671127,19.61,\N
3671129,20.10,0.321
3671128,26.40,\N
54181508,25.50,\N
54181509,26.59,\N
54181510,25.78,\N
54181511,23.97,\N
54181513,23.40,\N
3671131,20.68,0.273
3671133,18.94,\N
3671134,22.37,\N
3698557,26.10,\N
3698565,24.25,\N
3698566,22.90,\N
3698567,25.48,\N
3698571,22.70,\N
3698570,25.38,\N
3698568,26.60,\N
3698569,28.50,\N
3698572,18.02,\N
3836316,24.00,\N
3838920,22.60,\N
3671874,24.40,\N
3672037,28.20,\N
3672038,26.70,\N
3672190,21.21,\N
3672191,24.30,\N
3672192,27.30,\N
3672193,19.07,\N
3672293,25.52,\N
3672357,25.30,\N
3672358,26.40,\N
3672359,24.60,\N
3672360,26.50,\N
3672462,25.10,\N
3672457,23.30,\N
3672458,23.50,\N
3672461,23.33,\N
3672460,25.30,\N
3672459,25.00,\N
3672463,26.20,\N
3672464,24.40,\N
3672465,23.40,\N
3672561,22.11,\N
3672563,29.30,\N
3672564,27.80,\N
3672565,20.20,\N
3672669,20.32,\N
3672668,24.40,\N
3672670,24.82,\N
3672672,22.80,\N
3672671,23.80,\N
3672673,21.02,\N
3672674,26.50,\N
3672730,20.50,\N
3672731,26.20,\N
3672732,25.30,\N
3672900,20.14,\N
3672902,20.57,\N
3672903,23.90,0.166
3672901,23.20,\N
3672908,20.83,\N
3672909,26.62,\N
3672906,21.29,\N
3672904,20.49,\N
3672907,21.06,\N
3672905,27.90,\N
3672910,24.30,\N
3672962,23.50,\N
3672960,20.89,\N
3672961,26.70,\N
3672963,20.30,\N
3672964,20.17,\N
3673133,20.55,0.644
3673134,23.70,\N
3673137,26.50,\N
3673138,23.60,\N
3673167,25.50,\N
3673168,20.25,\N
3673620,18.01,1.724
3673267,28.52,\N
3673384,25.00,\N
3673385,21.00,\N
3673470,23.70,\N
3673469,24.20,\N
3673471,19.54,\N
3673472,20.70,\N
3673544,24.00,\N
3673545,21.38,\N
3673546,21.83,\N
3673597,27.00,\N
3673598,24.46,\N
3673636,25.90,\N
3673679,23.40,\N
3673680,29.10,\N
3673724,24.10,\N
54495706,19.85,\N
3673736,20.17,0.938
3673787,25.30,\N
3673794,18.47,\N
3673792,18.65,2.082
3673793,21.05,\N
3673806,18.11,\N
3673825,26.00,\N
3673837,24.10,\N
3673836,24.70,\N
3673857,19.91,\N
3673867,20.36,\N
3673865,21.80,\N
3673868,21.80,\N
3673866,24.30,\N
3673869,22.69,0.113
3673870,21.60,\N
3673913,24.00,\N
3673918,24.39,\N
3673917,26.22,\N
3673919,21.50,\N
3673920,25.60,\N
3673914,20.70,\N
3673916,26.20,\N
3673915,27.10,\N
3673921,21.77,\N
3673922,21.10,\N
3673978,20.50,\N
3673979,22.20,\N
3673976,24.10,\N
3673977,25.50,\N
3673980,21.82,\N
3673981,24.60,\N
3673983,23.08,\N
3673982,26.11,0.069
3674010,23.83,\N
3674025,22.70,\N
3674024,20.75,\N
3674023,23.80,\N
3674022,18.94,\N
3674026,24.80,\N
3674069,18.15,\N
3674072,22.84,\N
3674070,22.00,\N
3674104,23.10,\N
3674105,22.70,\N
3674106,23.50,\N
3674175,23.30,\N
3674174,18.38,\N
3674177,22.80,\N
3674178,26.50,\N
3674179,24.10,\N
3674216,24.50,\N
3674249,24.70,\N
3674330,18.60,\N
3674331,18.58,\N
3674332,24.10,\N
3674333,23.60,\N
3674335,21.71,\N
3674337,23.30,\N
3674426,19.67,\N
3674499,21.50,\N
3674500,19.41,\N
3674501,22.40,\N
3674503,24.05,\N
3674749,24.10,\N
3674757,20.70,\N
3674825,22.80,\N
3674830,21.20,\N
3675170,24.06,\N
3675179,24.57,\N
3675191,23.87,\N
3675093,25.93,\N
3675110,23.61,\N
3675116,22.98,\N
3675146,23.37,\N
3674248,23.20,\N
3674336,24.30,\N
3674341,24.20,\N
3674427,24.10,\N
3674498,21.83,\N
3674502,20.78,\N
3674578,21.96,\N
3674617,23.70,\N
3674619,21.22,0.502
3674659,23.60,\N
3674684,21.80,\N
3674745,23.23,\N
3674755,19.80,\N
3674756,19.99,0.501
3674789,18.89,\N
3674865,21.60,0.330
3675259,20.70,\N
3675262,24.12,\N
3675275,24.20,\N
3675285,21.77,\N
3675298,23.56,\N
3675307,22.90,\N
3675229,21.68,\N
3674864,21.72,\N
3674874,19.10,0.598
3674886,21.00,0.732
3674887,29.10,\N
3674937,23.20,\N
3674947,22.47,\N
3674948,27.80,\N
3674962,25.50,\N
3674961,24.40,\N
3674963,21.00,\N
3674964,23.10,\N
3675019,21.74,\N
3675020,22.88,\N
3675021,22.50,\N
3676114,26.50,\N
3676117,29.10,\N
3676115,23.20,\N
3676118,24.50,\N
3678015,26.20,\N
3678016,19.55,\N
3678250,20.77,\N
3678251,26.30,\N
3678248,24.30,\N
3678563,20.92,\N
3678561,22.50,\N
3678560,21.97,\N
3678562,21.02,\N
3678564,22.31,\N
3678608,24.20,\N
3678609,27.00,\N
3678610,21.42,\N
3678611,24.44,\N
3678630,22.78,\N
3678629,21.45,\N
3678631,22.60,\N
3679434,20.69,\N
3679436,22.85,\N
3680268,22.76,\N
3680281,26.00,\N
3680275,19.91,\N
3680895,25.50,\N
3680936,21.74,\N
3681005,24.66,\N
3681036,22.67,\N
3681053,25.80,\N
54499772,25.59,\N
3679871,22.30,\N
3679870,24.03,\N
3680249,20.84,\N
3680251,21.62,\N
3680250,17.72,\N
3680252,24.03,\N
3680266,22.10,\N
3680269,23.49,\N
3680284,20.80,\N
3690060,20.60,\N
3681964,20.59,0.206
3681965,20.23,\N
3681972,20.90,0.412
3681973,20.60,\N
3682228,20.28,0.562
3682429,18.05,3.330
3683246,20.00,\N
3682230,20.52,\N
3682231,25.00,\N
3682232,23.50,\N
3682428,24.40,\N
3682430,22.80,\N
3682463,18.86,\N
3682462,25.60,\N
3682464,24.90,\N
3682465,23.70,\N
3682466,24.44,\N
3682467,23.70,\N
3682495,21.60,\N
3682496,24.30,\N
3682497,22.12,\N
3682529,23.40,\N
3682527,26.20,\N
3682530,23.20,\N
3682531,23.00,\N
3682926,22.20,\N
3682925,23.60,\N
3682927,25.30,\N
3683390,19.45,\N
3683391,21.90,\N
3683392,24.54,\N
3683393,26.30,\N
3683394,22.30,\N
3683395,19.59,\N
3683396,20.71,\N
3683467,26.80,\N
3683469,22.05,\N
3683470,25.90,0.041
3683471,24.90,\N
3683472,24.80,\N
3683805,26.00,\N
3683808,22.40,\N
3683807,21.61,\N
3683809,25.20,\N
3684008,21.21,\N
3684007,24.40,\N
3684006,23.77,\N
3684343,22.80,\N
3684344,21.66,\N
3684345,22.70,\N
3684342,23.10,\N
3684348,26.50,\N
3684350,22.30,\N
3684347,24.40,\N
3684349,24.14,\N
3684346,20.00,\N
3684351,24.50,\N
3684352,20.70,\N
3684353,24.55,\N
3684354,23.40,\N
3684355,22.83,\N
3684635,21.19,\N
3684633,20.92,\N
3684632,23.70,\N
3684631,24.80,\N
3684634,25.90,\N
3684636,20.40,\N
3684718,19.23,\N
3684637,21.81,\N
3684638,27.20,\N
3684728,24.10,\N
3684730,21.19,\N
3684729,22.70,\N
3684733,19.06,\N
3684732,27.50,\N
3684734,23.20,\N
3684735,27.00,\N
3684736,22.70,\N
3685268,22.90,\N
3685270,22.54,\N
3685271,23.60,\N
3685272,21.71,\N
3685631,20.14,\N
3685633,27.40,\N
3685634,21.50,\N
3685635,22.90,\N
3685807,21.36,\N
3685809,21.11,\N
3685811,19.61,\N
3685812,21.80,\N
3685810,22.40,\N
3685817,19.22,2.009
3685818,18.66,\N
3685820,22.90,\N
3686081,18.42,1.784
3686080,23.00,\N
3686085,22.40,\N
3686086,23.70,\N
3686149,24.10,\N
3686154,22.13,\N
3686159,20.76,\N
3686272,25.00,\N
3686281,20.50,\N
3686283,27.80,\N
3686284,20.49,\N
3687132,21.80,\N
3687134,23.80,\N
3687789,20.47,\N
54354286,22.33,\N
3684737,28.90,\N
3685273,26.85,\N
3685632,25.40,\N
3685815,22.80,\N
3685816,22.70,\N
3685814,23.80,\N
3685819,27.35,\N
3686148,20.68,\N
3686150,20.37,\N
3686151,24.38,\N
3686152,23.01,\N
3686187,23.33,0.088
3686191,17.96,0.694
3686282,19.11,\N
3687133,22.40,\N
3687145,24.20,\N
3687910,23.72,\N
54510126,22.94,\N
3687147,22.30,\N
3687148,22.30,\N
3687149,23.20,\N
3687150,24.50,\N
3689016,25.90,\N
3689017,24.10,\N
3689018,26.00,\N
3689178,21.10,\N
3689342,25.50,\N
3689179,26.40,\N
3689180,25.27,\N
3689237,23.80,\N
3689239,29.10,\N
3689267,26.00,\N
3689268,25.60,\N
3689269,24.60,\N
3689270,23.70,\N
3689271,21.70,\N
3689272,26.00,\N
3689273,24.96,\N
3689340,22.80,\N
3689341,24.20,\N
3689343,21.40,\N
3689346,21.60,0.172
3689345,22.64,\N
3689344,22.60,\N
3689348,22.80,\N
3689350,22.37,\N
3689349,23.10,\N
3689347,22.70,\N
3689351,22.40,\N
3689354,28.20,\N
3689355,24.40,\N
3689353,21.84,\N
3689356,25.30,\N
3689358,19.05,\N
3689357,22.14,\N
3690050,21.00,\N
3690052,24.10,\N
3690053,21.60,\N
3690054,24.20,\N
3690057,27.00,\N
3690055,23.80,\N
3690058,25.30,\N
3690056,26.90,\N
3690061,25.21,\N
3690383,25.30,\N
3690382,24.60,\N
3690381,25.90,\N
3690385,25.70,\N
3690386,26.90,\N
3690384,27.20,\N
3690387,22.64,\N
3690388,20.80,\N
3690389,26.70,\N
3690390,26.10,\N
3690391,27.60,\N
3690392,27.00,\N
3690683,23.60,\N
3690684,26.30,\N
3690686,26.10,\N
3691089,19.61,\N
3691088,24.50,\N
3691095,21.00,\N
3691092,24.50,\N
3691091,25.00,\N
3691090,23.40,\N
3691093,24.02,\N
3691094,23.20,\N
3691096,26.60,\N
3691097,21.80,0.174
3691589,21.09,\N
3691154,26.70,\N
3691155,26.30,\N
3691157,22.90,\N
3691158,23.50,\N
3691159,22.50,\N
3691160,21.15,\N
3691354,25.50,\N
3691377,20.25,\N
3691711,23.20,\N
3691712,25.08,\N
3691849,27.30,\N
3692283,21.73,\N
3692282,24.39,\N
3692285,20.10,\N
3692284,21.90,\N
3692286,28.20,\N
3692287,26.20,\N
3692288,24.20,\N
3692289,27.80,\N
3692290,26.20,\N
3692291,24.50,\N
3692558,27.20,\N
3692562,25.50,\N
3692559,25.28,\N
3692560,25.09,\N
3692561,24.40,\N
3692563,26.06,\N
3692564,22.60,\N
3692565,22.26,\N
3692744,20.80,\N
3692745,22.45,\N
3692746,26.70,\N
3692748,24.90,\N
3692750,20.70,\N
3692751,21.50,\N
3692863,22.70,\N
3693014,22.30,\N
3693057,20.36,\N
3693058,20.32,\N
3693145,23.12,\N
3693163,21.83,\N
3693197,25.00,\N
54181745,25.81,\N
54506472,22.63,\N
3693237,23.70,\N
3693238,24.50,\N
3693239,26.00,\N
3693266,20.69,0.554
3693265,25.30,\N
3693267,25.00,\N
3693268,26.20,\N
3693269,25.20,\N
3693270,21.54,\N
3693271,21.80,\N
3693426,19.55,0.469
3693427,21.33,\N
3693517,23.30,\N
3693519,20.62,0.519
3693554,23.30,\N
3693428,26.60,\N
3693516,19.18,0.556
3693549,23.30,\N
3693553,25.30,\N
3693607,23.90,\N
3693719,25.10,\N
3693720,26.10,\N
3693721,26.60,\N
3693773,25.60,\N
3693774,24.80,\N
3693826,25.10,\N
3693845,25.30,\N
3694011,26.80,\N
3693846,23.33,\N
3693847,21.90,\N
3694045,22.19,\N
3694044,23.80,\N
3694046,25.10,\N
3694048,23.40,\N
3694047,25.10,\N
3694050,22.81,\N
3694051,24.80,\N
3694125,24.90,\N
3694124,25.20,\N
3694128,24.70,\N
3694126,23.18,\N
3694127,25.03,\N
3694130,22.46,\N
3694131,27.40,\N
3694132,25.23,\N
3694133,20.50,\N
3694451,19.21,\N
3694452,25.20,\N
3694453,26.20,\N
3694454,26.30,\N
3694455,28.60,\N
3694456,23.80,\N
3694460,28.20,\N
3694457,24.80,\N
3694458,26.30,\N
3694459,25.50,\N
3694461,25.90,\N
3694462,25.80,\N
3694463,22.00,\N
3694464,22.79,\N
3694465,27.60,\N
3694466,23.80,\N
3694520,25.60,\N
3694519,26.40,\N
3694521,26.40,\N
3694526,27.20,\N
3694523,24.90,\N
3694522,26.60,\N
3694525,24.20,\N
3694524,23.05,\N
3694527,24.80,\N
3694528,25.57,\N
3694529,24.50,\N
3694530,22.40,\N
3694531,18.82,\N
3694776,23.70,\N
3694777,24.30,\N
3694778,22.40,\N
3694781,20.50,\N
3694779,26.60,\N
3694780,24.20,\N
3694783,26.50,\N
3694782,24.70,\N
3694784,24.20,\N
3694785,24.00,\N
3694787,24.60,\N
3694786,22.72,\N
3694985,21.30,\N
3694986,26.20,\N
3694988,23.56,\N
3694989,24.80,\N
3694990,20.80,\N
3695293,20.53,\N
3695292,24.30,\N
3695294,27.10,\N
3695295,26.50,\N
3695296,23.60,\N
3695412,22.20,\N
3695410,27.90,\N
3695413,26.70,\N
3695414,21.70,\N
3695415,22.30,\N
3695411,24.80,\N
3695417,23.40,\N
3695416,20.30,\N
3695418,21.50,0.421
3695419,24.40,\N
3695420,23.20,\N
3695647,21.55,\N
3695652,19.30,\N
3695648,22.88,\N
3695653,23.60,\N
3695649,25.90,\N
3695650,24.10,\N
3695654,24.54,\N
3695651,23.40,\N
3695735,21.93,\N
3695734,25.50,\N
3695736,25.80,\N
3695745,21.15,\N
3695816,19.62,\N
3695824,19.11,\N
3695838,18.60,1.387
3695933,20.61,0.404
3699902,26.90,\N
3695738,24.51,\N
3695837,22.89,\N
3695919,22.72,0.085
3695920,21.60,\N
3695932,19.05,\N
3696014,20.56,\N
3696013,23.50,\N
3696015,24.56,\N
3696140,19.41,\N
3696154,26.20,\N
3696459,22.82,0.122
3696153,28.20,\N
3696193,23.30,\N
3696194,24.40,\N
3696195,24.30,\N
3696301,25.30,\N
3696302,26.40,\N
3696300,24.00,\N
3696303,23.50,\N
3696304,23.44,\N
3696305,24.70,\N
3696400,22.20,\N
3696401,30.40,\N
3696402,24.41,\N
3696404,25.20,\N
3696405,24.80,\N
3696403,27.10,\N
3696406,20.08,0.198
3696407,25.30,\N
3696440,19.06,\N
3696441,21.73,\N
3696443,22.90,\N
3696442,22.78,\N
3696445,22.81,\N
3696455,22.40,\N
3696447,25.60,\N
3696448,23.70,\N
3696450,20.49,\N
3696451,26.60,\N
3696452,26.00,\N
3696454,26.20,\N
3696453,27.30,\N
3696456,28.00,\N
3696457,23.67,\N
3696460,21.40,\N
3696461,25.00,\N
3697175,22.90,\N
3697177,25.60,\N
3697178,17.75,2.923
3697563,24.00,\N
3697564,26.30,\N
3697566,24.20,\N
3697567,24.10,\N
3697797,19.49,\N
3697796,22.32,\N
3697798,20.50,0.297
3697799,23.60,\N
3697800,21.61,\N
3697801,27.40,\N
3697802,24.77,\N
3697803,29.10,\N
3698468,21.80,\N
3698469,22.00,\N
3698470,23.56,\N
3698471,26.81,\N
3698473,24.00,\N
3698474,26.20,\N
3698475,25.59,\N
3698476,24.80,\N
3698578,24.00,\N
3698573,25.90,\N
3698574,20.45,\N
3698575,22.52,\N
3698577,25.05,\N
3698576,25.20,\N
3698840,22.20,\N
3698841,21.90,\N
3698850,19.06,\N
3698842,23.82,\N
3698843,25.70,\N
3698844,23.00,\N
3698847,21.10,\N
3698845,26.80,\N
3698846,23.77,\N
3698848,24.40,\N
3698849,29.60,\N
3699442,23.20,\N
3699443,24.90,\N
3699446,27.30,\N
3699445,22.30,\N
3699444,24.51,\N
3699447,20.98,\N
3699449,25.62,\N
3699451,21.43,\N
3699477,20.80,\N
3699476,22.50,\N
3699479,24.20,\N
3699480,19.25,\N
3699481,24.95,\N
3699482,25.70,\N
3699483,23.90,\N
3699497,19.96,\N
3699505,19.88,\N
3699506,21.16,\N
3699509,23.30,\N
3699510,25.40,\N
3699511,24.80,\N
3699512,25.60,\N
3699513,25.00,\N
3699882,26.10,\N
3699883,20.24,\N
3699885,23.27,\N
3699886,22.43,\N
3699887,20.78,\N
3699888,20.80,\N
3699890,18.91,\N
3699891,25.70,\N
3699892,26.00,\N
3699893,26.90,\N
3699894,24.80,\N
3699895,25.50,\N
3699896,27.40,\N
54510127,27.98,\N
3699903,22.10,\N
54510128,27.82,\N
54502927,22.09,\N
54506473,23.53,\N
3699901,21.31,0.486
3699898,23.74,\N
3699899,23.20,\N
3699905,22.40,\N
3699906,18.16,\N
54211782,20.26,\N
3699951,22.45,\N
3699952,21.86,\N
3701707,25.30,\N
3701708,22.50,\N
3701710,20.34,\N
54506474,24.24,\N
54181792,25.05,\N
54506167,29.48,\N
54506168,24.61,\N
54181771,25.73,\N
54181773,25.04,\N
3701881,20.92,\N
3699954,20.09,\N
3700064,19.42,\N
3701679,19.58,\N
3701712,26.46,\N
3701837,19.27,\N
3701838,25.30,\N
3701847,21.30,\N
3701849,22.40,\N
3701857,24.00,\N
3701866,20.90,\N
3701883,21.00,\N
3701879,22.91,\N
3701882,23.50,\N
3701880,26.80,\N
3701884,24.04,\N
3701885,20.18,0.651
3701886,26.00,\N
3702256,19.23,1.198
3702310,26.30,\N
3702311,18.92,\N
3702316,20.18,\N
3702320,19.39,\N
3702670,17.24,1.349
3702677,23.40,\N
3702676,21.40,\N
3702685,26.40,\N
3702708,21.70,\N
3702718,25.30,\N
3703890,21.90,\N
3702318,22.27,\N
3702319,24.29,\N
3702321,22.39,\N
3702322,22.10,\N
3702671,25.70,\N
3702672,19.47,\N
3702707,20.72,\N
3702705,20.71,\N
3702706,24.50,\N
3702719,25.60,\N
3702717,23.40,\N
3702720,23.50,\N
3702914,19.12,\N
3702915,23.70,\N
3702916,24.50,\N
3702917,27.50,\N
3702918,24.06,\N
3702939,19.30,\N
3702938,20.80,\N
3702940,21.08,\N
3702963,23.30,\N
3702941,25.50,\N
3702966,20.59,\N
3702967,24.80,\N
3702968,26.60,\N
3702969,24.33,\N
3702970,27.20,\N
3702999,22.97,\N
3703000,20.81,\N
3703002,18.38,2.443
3703001,22.75,\N
3703003,20.60,0.355
3703011,26.10,\N
3703048,21.10,0.299
3703012,18.59,1.757
3703013,27.60,\N
3703056,24.20,\N
3703058,26.80,\N
3703059,28.30,\N
3703070,19.99,\N
3703073,21.39,\N
3703072,23.50,\N
3703074,27.20,\N
3703075,26.10,\N
3703076,24.16,\N
3703166,20.85,0.129
3703077,24.70,\N
3703078,24.30,\N
3703079,19.59,\N
3703080,21.78,\N
3703193,20.20,\N
3703192,21.12,\N
3703194,20.30,\N
3703195,23.80,\N
3703243,23.60,\N
3703244,21.50,\N
3703245,25.40,\N
3703246,24.80,\N
3703247,22.20,\N
3703248,23.40,\N
3703253,20.47,\N
3703254,24.80,\N
3703255,24.85,\N
3703261,22.90,\N
3703262,19.63,0.370
3703263,20.20,\N
3703309,19.58,\N
3703311,21.01,\N
3704051,20.20,\N
3704075,26.10,\N
3704079,23.97,\N
3777606,21.41,\N
3703303,20.32,\N
3703314,21.58,\N
3703319,24.27,\N
3703372,21.56,\N
3703435,19.63,0.986
3703436,26.50,\N
3703437,19.99,\N
3703438,28.00,\N
3703537,23.50,\N
3703538,23.90,\N
3703539,22.60,\N
3703540,24.40,\N
3703541,23.50,\N
3703542,24.60,\N
3703543,25.40,\N
3703544,24.40,\N
3703545,22.40,\N
3703546,22.90,\N
3703547,25.20,\N
3703548,26.20,\N
3703775,20.06,\N
3703778,21.28,\N
3703779,24.20,\N
3703784,24.00,\N
3703780,21.48,\N
3703781,23.80,\N
3703782,25.30,\N
3703783,25.12,\N
3703787,23.30,\N
3703788,26.40,\N
3703790,22.00,\N
3703793,22.02,\N
3703884,21.16,\N
3704141,20.99,0.374
3704143,19.53,\N
3704145,22.74,\N
3704144,23.40,\N
3707696,21.59,0.358
3703785,25.00,\N
3703786,24.00,\N
3703789,24.00,\N
3703791,24.90,\N
3703792,26.60,\N
3703887,21.30,\N
3703886,23.43,\N
3703889,25.70,\N
3703888,23.70,\N
3703894,28.10,\N
3703892,23.80,\N
3704146,20.40,\N
3704147,20.39,\N
3704148,27.50,\N
3704154,27.60,\N
3704150,25.20,\N
3704149,23.82,\N
3704151,24.70,\N
3704152,25.10,\N
3704153,23.70,\N
3704156,26.40,\N
3704157,24.90,\N
3704158,23.60,\N
3704262,23.40,\N
3704264,19.08,\N
3704263,20.29,\N
3704265,21.63,\N
3704268,21.48,\N
3704267,25.60,\N
3704266,23.80,\N
3704764,22.50,\N
3704765,21.86,\N
3704766,19.24,\N
3704767,28.10,\N
3704768,24.00,\N
3704769,25.10,\N
3704770,25.00,\N
3704771,20.87,\N
3705038,18.81,\N
3705039,21.00,\N
3705040,21.07,\N
3705042,22.00,0.146
3705043,20.23,\N
3705045,21.32,\N
3705046,23.40,\N
3705047,23.40,\N
3707692,24.50,\N
3707693,24.40,\N
3707694,21.10,\N
3707698,20.75,\N
3707697,22.38,\N
3707699,23.30,\N
3708359,22.36,\N
3708360,20.24,\N
3708361,23.80,\N
3708363,19.35,\N
3708364,27.80,\N
3708365,23.60,\N
3708366,20.29,\N
3708650,22.89,\N
3708651,22.10,\N
3708943,23.48,\N
3708944,25.70,\N
3708945,25.04,\N
3709076,20.09,\N
3709077,20.40,\N
3709078,19.82,\N
3709079,20.35,\N
3709080,20.50,\N
3709081,20.85,\N
3709130,24.60,\N
3709133,18.80,\N
3709134,19.74,\N
3709132,26.60,\N
3709136,28.60,\N
3709135,25.06,\N
3709137,25.50,\N
3709247,20.50,\N
3709248,25.20,\N
3709250,21.49,\N
3709251,25.78,\N
3709252,22.00,\N
3709285,26.70,\N
3709397,23.20,\N
3709398,17.82,\N
3709400,24.60,\N
3709401,23.10,\N
3709449,19.23,\N
3709549,23.90,\N
3709550,20.60,\N
3709602,20.86,\N
3709601,21.28,\N
3709603,20.25,\N
3709604,22.87,\N
3709710,24.20,\N
3709711,21.13,\N
3709714,23.70,\N
3709774,22.30,\N
3709956,20.13,\N
3709957,20.47,\N
3709958,21.00,\N
3715407,18.98,\N
3715408,23.90,\N
3715411,27.60,\N
3715412,20.43,\N
3715413,20.02,0.349
3753570,26.80,\N
3764850,18.10,\N
3709453,23.25,\N
3709712,23.50,\N
3709713,25.60,\N
3709715,25.52,\N
3709716,26.10,\N
3709773,26.20,\N
3709775,26.30,\N
3709924,23.30,\N
3709926,26.40,\N
3709959,22.30,\N
3709960,20.60,\N
3709961,25.50,\N
3709962,23.80,\N
3709963,28.20,\N
3709966,24.60,\N
3709967,23.80,\N
3709968,25.25,\N
3710019,21.42,\N
3710018,21.40,\N
3710020,22.60,\N
3710159,23.00,\N
3710160,20.00,0.184
3710161,22.20,\N
3710164,25.40,\N
3710215,24.10,\N
3710219,28.60,\N
3710217,24.05,\N
3710216,27.20,\N
3710218,25.66,\N
3710223,23.50,\N
3710222,23.30,\N
3710237,24.00,\N
3710225,19.80,0.384
3710224,25.70,\N
3710226,26.00,\N
3710227,23.60,\N
3710228,20.43,0.437
3710229,22.90,\N
3710230,21.70,\N
3710245,19.00,\N
3710246,22.82,\N
3710247,20.34,\N
3710557,23.00,\N
3710558,24.60,\N
3710911,20.98,\N
3710912,19.53,\N
54084705,19.13,\N
3710559,27.70,\N
3710713,25.10,\N
3710716,23.90,\N
3710712,24.90,\N
3710714,23.00,\N
3710715,26.60,\N
3710913,21.93,\N
3710914,24.80,\N
3710916,30.40,\N
3710915,23.30,\N
3710917,24.80,\N
3710918,20.70,\N
3710919,24.40,\N
3710920,24.20,\N
3710921,25.50,\N
3711166,21.45,\N
3711167,20.94,\N
3711168,20.88,0.468
3711170,26.10,\N
3711171,25.44,\N
3711172,24.40,\N
3711173,25.40,\N
3711174,22.02,\N
3711779,20.90,\N
3711778,23.99,\N
3711780,23.80,\N
3711781,24.35,\N
3711782,25.72,\N
3711783,23.90,\N
3711784,21.64,\N
3711785,21.62,\N
3712031,24.40,\N
3712032,22.20,\N
3712033,24.87,\N
3712034,19.72,0.679
3712420,20.93,0.435
3712419,19.70,\N
3712421,21.46,\N
3712422,23.70,\N
3712423,23.60,\N
3712424,25.60,\N
3712425,24.90,\N
3712426,18.82,\N
3712468,21.19,\N
3712469,23.10,\N
3712471,24.30,\N
3712470,25.39,\N
3712472,21.05,\N
3712527,23.50,\N
3712528,23.80,\N
3712529,25.60,\N
3712530,20.26,\N
3712531,21.93,0.349
3712532,26.60,\N
3712533,24.60,\N
3712535,24.90,\N
3712536,25.70,\N
3712537,26.00,\N
3712619,23.50,\N
3712620,23.80,\N
3712621,24.50,\N
3712625,20.66,\N
3712622,23.09,\N
3712624,26.09,\N
3712626,22.29,\N
3712627,25.61,\N
3712665,24.13,\N
3712668,24.60,\N
3712669,24.20,\N
3712670,19.80,0.535
3712671,26.60,\N
3712675,20.51,\N
3712886,22.60,\N
3713068,23.40,\N
3714487,22.70,\N
3715405,24.60,\N
3717073,22.80,\N
3717069,29.30,\N
54499773,23.32,\N
3712903,26.80,\N
3712904,25.61,\N
3712905,25.54,\N
3712906,26.43,\N
3712945,26.30,\N
3712944,26.81,\N
3712946,26.00,\N
3712947,26.10,\N
3712982,21.20,\N
3712984,26.70,\N
3713006,25.80,\N
3713005,22.32,\N
3713007,24.10,\N
3713008,26.01,\N
3713004,23.00,\N
3836965,19.98,\N
3713069,20.36,\N
3713070,30.20,\N
3713071,28.60,\N
3713267,21.60,\N
3713268,21.50,\N
3713269,22.44,\N
3713270,20.77,0.313
3713271,20.28,0.294
3713272,24.38,\N
3713273,27.40,\N
3713283,21.99,\N
3713284,22.70,\N
3713303,20.10,\N
3713306,25.60,\N
3713307,22.30,\N
3713318,23.60,\N
3713941,21.41,\N
54506171,22.68,\N
3713285,26.20,\N
3713286,26.60,\N
3713287,26.60,\N
3713288,24.40,\N
3713289,26.60,\N
3713304,20.79,\N
3713305,25.40,\N
3713308,20.80,0.232
3713309,26.16,\N
3713319,25.20,\N
3713320,22.28,\N
3713321,24.03,\N
3713903,19.78,\N
3713931,24.60,\N
3713932,25.80,\N
3713940,24.10,\N
3713942,24.80,\N
3713933,26.70,\N
3713934,23.60,\N
3713935,22.56,0.066
3713936,24.30,\N
3713937,23.30,\N
3713938,26.30,\N
3713939,25.80,\N
3713943,25.70,\N
3713944,21.50,\N
3713945,22.90,\N
3713946,23.30,\N
3713947,23.90,\N
3713948,23.00,\N
3713974,26.70,\N
3713975,27.60,\N
3713976,24.70,\N
3713999,25.70,\N
3713993,19.90,\N
3713989,22.15,\N
3713998,20.71,\N
3713990,19.54,\N
3713991,19.94,\N
3713992,25.30,\N
3713994,22.90,\N
3713995,24.10,\N
3713997,24.80,\N
3713996,24.30,\N
3714000,24.60,\N
3714001,23.73,\N
3714003,24.30,\N
3714002,25.60,\N
3714113,18.98,\N
3714115,27.70,\N
3714114,23.02,\N
3714116,19.48,0.636
3714117,22.40,\N
3714118,21.20,\N
3714119,18.79,\N
3714120,26.20,\N
3714121,23.04,\N
